epoch,total_epoch,global_step,lr,loss
1,30,20,9.9e-05,654.298309
1,30,24,0.000141,634.851288
2,30,40,0.000307,458.226852
2,30,48,0.000391,288.963577
3,30,60,0.0005,257.456696
3,30,72,0.0005,250.969009
4,30,80,0.000499,247.160324
4,30,96,0.000497,244.162773
5,30,100,0.000496,244.162773
5,30,120,0.000491,243.357719
6,30,140,0.000484,239.891365
6,30,144,0.000483,243.464584
7,30,160,0.000476,244.260193
7,30,168,0.000472,242.193329
8,30,180,0.000466,241.285461
8,30,192,0.000459,239.835526
9,30,200,0.000454,239.490158
9,30,216,0.000443,239.643967
10,30,220,0.00044,239.254082
10,30,240,0.000426,239.954376
11,30,260,0.000409,234.105812
11,30,264,0.000406,233.998756
12,30,280,0.000392,228.789963
12,30,288,0.000385,226.988586
13,30,300,0.000374,223.996803
13,30,312,0.000362,218.683167
14,30,320,0.000354,214.889542
14,30,336,0.000338,205.043777
15,30,340,0.000334,202.944321
15,30,360,0.000313,193.3974
16,30,380,0.000292,188.232079
16,30,384,0.000287,187.298859
17,30,400,0.00027,180.549469
17,30,408,0.000261,180.280457
18,30,420,0.000248,178.332657
18,30,432,0.000235,175.214157
19,30,440,0.000227,174.130501
19,30,456,0.000209,170.995483
20,30,460,0.000205,171.647804
20,30,480,0.000184,167.315536
21,30,500,0.000163,166.760925
21,30,504,0.000159,167.137299
22,30,520,0.000143,167.625702
22,30,528,0.000135,164.062691
23,30,540,0.000124,163.30574
23,30,552,0.000112,164.335327
24,30,560,0.000105,164.169441
24,30,576,9.1e-05,161.874092
25,30,580,8.8e-05,160.964973
25,30,600,7.2e-05,162.93055
26,30,620,5.7e-05,161.229309
26,30,624,5.5e-05,162.027222
27,30,640,4.4e-05,161.344536
27,30,648,3.9e-05,160.356049
28,30,660,3.3e-05,159.296524
28,30,672,2.7e-05,159.129669
29,30,680,2.3e-05,160.140633
29,30,696,1.6e-05,160.569244
30,30,700,1.5e-05,160.921112
30,30,720,8e-06,158.101166
