epoch,total_epoch,global_step,lr,loss
1,15,98,0.000991,247.266418
2,15,100,0.000991,248.556068
2,15,196,0.000961,236.755219
3,15,200,0.00096,236.872787
3,15,294,0.000911,218.885918
4,15,300,0.000907,217.840836
4,15,392,0.000843,203.372719
5,15,400,0.000837,204.517708
5,15,490,0.00076,203.592346
6,15,500,0.00075,205.368027
6,15,588,0.000665,201.046333
7,15,600,0.000653,200.997566
7,15,686,0.000563,193.9944
8,15,700,0.000549,193.572433
8,15,784,0.000459,194.519867
9,15,800,0.000442,191.88942
9,15,882,0.000356,192.114456
10,15,900,0.000338,190.776573
10,15,980,0.00026,187.68335
11,15,1000,0.000241,187.063339
11,15,1078,0.000174,188.058121
12,15,1100,0.000156,188.691879
12,15,1176,0.000102,190.30558
13,15,1200,8.7e-05,186.420128
13,15,1274,4.8e-05,194.061905
14,15,1300,3.7e-05,190.40554
14,15,1372,1.3e-05,187.546326
15,15,1400,7e-06,189.43988
15,15,1470,0.0,191.046776
